,__participant,"('valence', 17.0)",0
0,245,187.0,1.0
1,768,-122.0,1.0
2,2715,246.0,1.0
3,9728,-239.0,1.0
4,11406,174.0,1.0
5,16387,228.0,1.0
6,16793,180.0,1.0
7,17350,24.0,1.0
8,17989,232.0,1.0
9,20537,229.0,1.0
10,21178,117.0,1.0
11,21761,238.0,1.0
12,24249,107.0,1.0
13,24739,249.0,1.0
14,26762,189.0,1.0
15,27211,215.0,1.0
16,27460,191.0,1.0
17,27654,173.0,1.0
18,28371,99.0,1.0
19,40434,199.0,1.0
20,41881,119.0,1.0
21,43104,233.0,1.0
22,44452,227.0,1.0
23,45753,195.0,1.0
24,46107,159.0,1.0
25,47664,127.0,0.0
26,49156,136.0,1.0
27,50720,17.0,1.0
28,57102,140.0,1.0
29,57129,221.0,1.0
30,57426,230.0,1.0
31,58170,175.0,1.0
32,61824,197.0,1.0
33,62184,216.0,1.0
34,66494,135.0,1.0
35,68093,213.0,1.0
36,68494,142.0,1.0
37,69982,158.0,1.0
38,71145,156.0,1.0
39,71287,145.0,1.0
40,76327,,0.0
41,76562,238.0,1.0
42,81603,145.0,1.0
43,83556,219.0,1.0
44,83641,218.0,1.0
45,83985,72.0,0.0
46,85122,237.0,1.0
47,86493,148.0,1.0
48,86497,136.0,1.0
49,89179,81.0,1.0
50,99434,234.0,1.0
51,100080,137.0,1.0
52,100602,220.0,1.0
53,101053,194.0,1.0
54,101254,236.0,1.0
55,102063,-1.0,1.0
56,102520,235.0,1.0
57,103675,238.0,1.0
58,106900,42.0,1.0
59,106919,210.0,0.0
60,107463,204.0,1.0
61,110471,244.0,1.0
62,111359,1.0,1.0
63,111526,239.0,1.0
64,112566,186.0,1.0
65,115605,195.0,1.0
66,117736,248.0,1.0
67,118039,196.0,1.0
68,119015,,0.0
69,119823,200.0,0.0
70,119967,52.0,0.0
71,122159,219.0,1.0
72,122225,239.0,1.0
73,125936,172.0,1.0
74,126641,204.0,1.0
75,127612,62.0,1.0
76,132358,242.0,1.0
77,135485,154.0,1.0
78,138622,216.0,1.0
79,138989,-14.0,1.0
80,140753,170.0,1.0
81,143751,241.0,1.0
82,144767,193.0,1.0
83,145737,-14.0,1.0
84,147504,223.0,1.0
85,147566,238.0,1.0
86,149111,247.0,1.0
87,150443,136.0,1.0
88,159817,21.0,1.0
89,160389,111.0,1.0
90,160676,244.0,0.0
91,162361,209.0,1.0
92,162792,104.0,1.0
93,164874,247.0,1.0
94,165338,-1.0,1.0
95,166686,226.0,1.0
96,167164,240.0,1.0
97,172269,,0.0
98,173254,235.0,1.0
99,174722,152.0,1.0
100,175541,141.0,1.0
101,176109,153.0,1.0
102,179233,199.0,1.0
103,180586,-7.0,1.0
104,181219,217.0,1.0
105,183131,156.0,1.0
106,184829,222.0,1.0
107,186024,238.0,1.0
108,188776,230.0,1.0
109,189594,69.0,1.0
110,192797,46.0,1.0
111,195132,2.0,1.0
112,199583,243.0,1.0
113,204193,134.0,1.0
114,206793,153.0,1.0
115,207810,241.0,1.0
116,208010,218.0,1.0
117,208894,245.0,1.0
118,209874,161.0,1.0
119,211595,231.0,1.0
120,214042,214.0,1.0
121,214597,19.0,1.0
122,218878,124.0,1.0
123,219715,171.0,1.0
124,222177,239.0,1.0
125,227054,231.0,1.0
126,230362,202.0,1.0
127,230473,65.0,1.0
128,231728,47.0,1.0
129,231822,240.0,1.0
130,232055,212.0,1.0
131,233878,202.0,1.0
132,234912,250.0,1.0
133,235353,,0.0
134,235803,,0.0
135,236242,183.0,1.0
