"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1",3,2,-2,-1,0,2,3,3,2,2,2,-2,3,-2,-1,1,2,2
"2",3,-2,3,-2,4,1,2,-2,-3,-1,2,1,3,1,-2,-1,2,0
"3",3,2,-3,-2,-3,2,4,1,0,2,3,2,3,-3,3,-3,0,-3
"4",3,-2,-2,0,1,-1,3,4,4,4,4,3,0,-3,2,-4,-2,-3
"5",1,2,2,2,0,3,2,3,2,1,4,3,3,3,2,2,3,3
"6",2,1,-1,1,2,-1,1,2,1,-3,-2,1,3,1,-4,-4,1,2
"7",-1,-1,3,0,1,1,2,2,2,-2,-3,-2,1,-2,-2,-2,-2,2
"8",2,0,-1,-2,3,3,1,2,0,0,1,-1,1,4,-1,1,0,-1
"9",1,1,2,2,0,1,2,0,1,2,2,1,1,1,0,0,0,2
"10",4,2,2,-2,1,1,4,-1,1,-3,0,4,4,-2,1,-4,4,2
"11",3,-1,1,-3,-2,2,3,3,4,2,3,3,4,-1,1,-1,2,-1
"12",3,0,1,0,0,-1,2,0,2,0,0,0,1,-1,0,-1,1,4
"13",3,4,-1,-1,-2,-1,3,3,4,2,4,2,4,-3,-4,-4,2,-2
"14",3,3,3,0,3,0,4,3,4,3,3,4,3,-1,1,-1,2,0
"15",3,-1,1,-1,1,2,3,3,2,-1,2,3,3,2,-2,0,2,3
"16",4,-1,-2,1,2,2,1,3,1,1,-2,2,2,-1,0,-2,2,3
"17",-2,3,-3,0,-3,-1,2,3,4,4,2,-3,1,-3,-3,-3,0,3
"18",4,3,2,2,3,1,3,3,1,4,4,2,4,2,1,1,2,2
"19",4,0,-3,1,-2,1,2,4,4,-2,1,-1,4,-2,2,-3,2,-3
"20",1,2,-3,-2,0,-3,0,3,3,0,-4,1,4,-4,-4,-2,-4,0
"21",0,0,-3,-1,-3,-2,0,0,4,3,3,3,2,2,-3,-3,0,2
"22",1,4,2,4,-1,2,4,1,0,3,2,2,3,-3,0,-4,1,3
"23",4,4,4,-4,-4,4,4,4,4,0,4,-4,4,-4,-4,-4,4,-4
"24",3,-2,-3,-3,-4,-3,2,4,0,-3,-4,-4,2,-2,2,-2,0,2
"25",0,4,-1,2,-1,2,2,2,3,2,2,-1,1,-3,-3,-2,1,-3
"26",4,0,1,-2,-4,2,4,4,4,2,-2,-1,2,2,0,-4,1,2
"27",2,0,-1,-2,-2,0,-2,0,1,4,1,3,0,0,0,-2,-1,0
"28",3,3,-1,-1,0,0,0,2,3,3,2,2,-1,-2,-2,0,2,-2
"29",3,1,-3,-3,-2,-1,3,4,4,3,-2,3,4,-3,-3,-3,3,-2
"30",4,0,-1,-1,0,-2,2,1,1,2,2,1,0,0,-4,-4,-4,0
"31",-3,3,-4,3,1,3,2,-2,4,3,4,-2,2,-1,-2,-4,2,3
"32",4,-4,-4,-4,-4,4,4,4,4,-4,-4,-4,4,0,-1,0,3,4
"33",-4,4,-3,-4,-3,-4,4,4,4,4,4,4,4,-3,-4,-4,4,-1
"34",-3,-2,-2,-1,-1,-2,-4,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,0
"35",2,2,-2,1,-2,2,2,3,2,-1,3,2,3,0,-3,-3,1,-1
"36",3,1,2,-3,-3,2,2,3,3,4,4,3,0,-2,-3,-3,2,-3
