"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",193,-205,-172,-212,-180,14,229,211,198,-231,-210,-215,212,-69,-186,-210,164,187
"2",-18,-212,-212,-86,-101,145,117,-98,-29,-133,53,107,137,122,-89,-116,-57,-122
"3",211,-221,-245,-244,1,-1,246,249,-2,-248,-248,-247,248,-126,243,-248,1,246
"4",187,-161,-57,-211,-179,197,191,218,221,-219,-234,-242,231,241,-85,-231,11,-239
"5",202,-226,-199,-231,-193,151,199,190,195,-221,-228,-214,203,-205,-38,-187,202,174
"6",166,-185,-139,-65,-126,1,145,81,-57,-200,-197,-126,211,57,-55,-244,-1,228
"7",36,14,-86,74,140,73,175,137,136,186,104,-225,163,-166,-168,-184,-184,180
"8",118,-25,137,-231,22,241,-26,237,11,-35,-79,-38,40,-39,-30,16,22,24
"9",208,-233,-209,-245,-182,131,239,211,11,-237,-239,-245,238,8,-182,-235,34,232
"10",242,-247,-196,-248,-250,-1,1,-4,-1,-137,-209,-77,247,0,-1,-1,0,229
"11",2,1,-211,-218,-170,69,166,217,78,-203,-214,-206,207,90,-2,-102,110,117
"12",205,-243,2,1,0,38,27,0,-1,-1,0,0,0,-45,-2,-247,23,238
"13",212,-153,-247,-143,-161,-1,161,247,0,-129,-175,-50,222,-36,-71,-190,153,107
"14",134,-242,-230,-207,-232,-1,184,238,84,-195,-214,-221,221,-188,-134,-200,113,249
"15",186,-207,-84,-97,-175,186,195,170,34,-137,-103,122,237,-178,-184,-115,2,189
"16",246,-247,-108,-33,-229,226,234,238,18,-239,-230,-232,56,-17,-122,-242,35,215
"17",195,-197,-218,-237,-217,2,203,215,-23,-227,-221,-228,212,-201,-106,-195,2,191
"18",239,-208,-205,-230,-231,145,197,230,-56,-169,-206,-205,237,-172,-172,-182,160,173
"19",63,-56,-64,-191,-227,67,98,102,126,-142,-80,-130,137,-116,101,-196,94,99
"20",234,-213,-242,-228,-42,81,220,233,35,-231,-225,-110,224,-36,-238,-123,176,199
"21",116,-105,-141,-226,-202,-82,143,169,160,-145,-170,-156,137,-171,-171,-176,73,119
"22",248,-246,-189,-211,-54,177,190,238,-9,-236,-240,-228,235,-245,17,-243,9,233
"23",-54,-201,-238,-244,-227,-226,242,242,239,-243,-236,-243,230,69,-234,-213,202,227
"24",194,-184,-218,-206,-73,40,209,249,1,-83,-219,-171,183,-233,116,-132,130,195
"25",250,-248,-219,-247,-246,-54,233,227,232,-243,-240,-59,164,-174,12,-232,111,159
"26",137,-135,-166,-205,-134,211,148,124,124,-209,-118,-116,106,96,100,123,130,127
"27",16,-232,-45,-247,-136,80,156,128,-94,-248,-223,-246,247,-17,-40,-185,87,136
"28",116,-155,-148,-133,-121,1,116,114,233,-140,-132,-131,120,-126,-124,-130,120,17
"29",161,-150,-151,-155,-95,12,192,158,68,-186,-202,-133,111,-174,-166,-153,163,140
"30",234,-235,-247,-109,-247,249,237,244,-30,-199,-125,-225,226,-216,-176,-239,-210,221
"31",-187,-198,-4,224,-135,223,226,221,233,-245,-235,-232,11,4,-1,-214,-3,230
"32",104,-176,-125,-129,-113,123,192,125,195,-121,-140,-179,94,-102,-96,-134,121,175
"33",212,-243,-13,-15,-12,38,220,219,19,-244,-241,-238,213,-121,-67,-221,178,197
"34",242,-245,-12,-247,-9,243,240,247,-15,-241,-3,-244,247,-1,11,-247,23,216
"35",128,-119,-100,-68,-83,115,157,145,-21,-67,-100,-39,97,-18,-32,-30,87,135
"36",203,-205,-208,-197,-231,86,183,213,131,-212,-208,-56,217,-171,-87,-213,184,213
"37",90,129,179,124,119,152,183,-162,158,190,188,131,163,126,182,139,-80,142
"38",151,-124,-142,-217,-116,0,175,159,-4,-155,-136,-160,77,96,-131,-81,123,158
"39",14,0,-3,136,-95,1,-119,126,-102,-147,106,-98,2,172,-12,-183,91,156
"40",159,-170,-222,-226,-201,0,206,207,-2,-197,-169,-203,174,-93,-55,-180,190,145
"41",158,-70,-95,-240,-175,105,137,158,49,-186,-168,-42,167,-25,-1,-224,55,121
"42",235,-230,-233,-248,-126,105,243,247,175,-231,-218,-239,100,177,-218,-245,41,238
"43",246,-234,-249,-247,-212,0,152,95,-12,-159,-228,-152,85,-119,-184,-221,72,145
"44",212,-174,-162,-168,-82,142,130,176,228,-158,-200,-179,-1,-2,-67,-97,142,219
"45",194,-227,-239,-235,-148,0,229,29,5,-154,-221,-156,233,-143,-114,-135,236,218
"46",210,-199,-208,-35,-216,87,55,67,19,-42,-40,-33,71,-98,-23,-23,46,72
"47",246,-110,-137,-247,-244,148,242,242,-1,-243,-247,-239,238,-239,-239,-242,213,237
"48",249,-197,-237,-97,-127,-1,172,103,-19,-119,-96,-58,182,40,-143,51,249,148
"49",201,-194,-209,-164,-222,-3,246,223,-26,-218,-236,-126,222,-109,-185,-118,214,136
"50",154,-62,-169,-3,-9,101,80,0,-90,-206,-182,-151,146,2,-29,-49,90,81
"51",238,-247,-241,-229,-243,25,210,243,-245,-177,-241,-227,-2,-135,-27,-238,1,234
"52",88,159,27,-21,45,-61,-50,-84,-45,-68,-40,141,135,73,85,81,-170,137
"53",200,-204,-74,-148,-210,12,150,176,161,-91,-194,-157,128,-125,-133,-178,122,220
"54",85,-204,-208,-238,-204,-1,242,25,-30,-220,-131,-70,224,58,124,-211,1,194
"55",238,-244,-240,-243,4,1,-4,-3,-3,-244,-240,-199,-3,-191,-196,-185,-5,236
