"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","participant","rewexpect_group"
"1",6,6,3,4,3,5,4,3,4,3,7,7,5,7,4,6,4,4,4,4,7,7,5,7,4,6,4,4,4,4,1,2
"2",7,4,5,7,7,5,3,6,4,3,7,5,4,4,6,6,7,5,4,4,7,4,5,7,7,5,3,6,4,4,2,1
"3",1,1,1,1,1,2,1,1,1,1,2,3,2,3,2,1,1,1,2,4,2,3,2,3,2,1,1,1,2,4,3,4
"4",3,6,4,5,2,4,5,5,3,3,8,6,7,5,5,4,5,3,5,7,8,6,7,5,5,4,5,3,5,7,4,4
"5",1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,5,6,6,8,6,9,7,6,5,5,3
"6",1,1,2,4,3,4,9,9,9,6,1,1,2,4,3,4,9,9,9,6,6,6,6,6,7,7,8,7,7,7,6,1
"7",1,5,7,6,6,6,6,6,6,6,6,7,6,4,6,5,4,4,4,6,4,5,7,6,6,6,6,6,6,6,7,2
"8",7,6,4,5,4,7,5,7,7,2,7,5,7,3,2,2,6,3,7,6,6,3,6,5,8,1,6,8,7,5,8,4
"9",4,3,4,4,3,5,4,3,3,3,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,9,1
"10",4,4,3,6,4,6,6,3,5,2,4,4,3,6,4,6,6,3,5,2,3,4,5,5,6,7,4,5,4,4,10,4
"11",5,5,5,5,5,5,5,4,4,3,7,6,7,6,7,4,3,5,7,4,7,6,7,6,7,4,3,5,7,4,11,1
"12",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,1
"13",6,2,3,1,1,1,1,1,1,1,3,3,2,3,5,3,2,3,3,3,3,3,2,3,5,3,2,3,3,3,13,1
"14",5,7,2,5,5,6,5,5,2,5,3,2,4,4,4,3,3,3,2,4,5,7,2,5,5,6,5,5,4,5,14,4
"15",7,7,8,7,7,8,8,6,8,9,7,7,8,7,7,8,8,6,8,9,3,3,6,7,4,6,6,4,6,6,15,1
"16",1,1,2,1,1,1,2,3,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,3,1,1,16,2
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,4
"18",4,3,5,4,3,3,3,3,2,2,2,4,2,2,2,3,2,3,2,3,4,3,5,4,3,3,3,3,2,2,18,4
"19",2,2,3,4,2,7,3,4,3,3,2,2,3,4,2,7,3,4,3,3,8,7,5,5,3,3,8,6,5,5,19,3
"20",3,9,9,9,1,4,3,1,3,6,1,5,4,6,2,5,5,5,4,5,3,9,9,9,1,4,3,1,3,6,20,4
"21",2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,4,4,6,4,4,4,4,4,21,1
"22",5,6,3,5,5,4,5,5,4,5,3,5,3,5,5,6,6,6,7,6,5,6,3,5,5,4,5,5,4,5,22,4
"23",1,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,8,1,9,9,9,9,9,9,9,9,9,23,2
"24",5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,5,5,7,7,9,7,5,8,24,3
"25",6,4,3,3,2,3,2,1,1,1,3,3,3,4,3,4,4,2,3,2,5,4,3,4,4,4,4,4,4,4,25,1
"26",1,1,1,1,1,3,1,1,1,1,2,1,2,2,1,1,2,1,2,3,1,1,1,1,1,3,1,1,1,1,26,2
"27",5,5,5,5,5,4,5,3,3,3,5,5,5,5,5,4,5,3,3,3,5,6,5,6,5,5,6,6,6,5,27,3
"28",1,1,2,6,6,6,1,3,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,28,1
"29",1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,29,1
"30",6,4,6,3,7,6,5,5,1,1,6,4,6,3,7,6,5,5,1,1,1,8,7,5,5,7,9,7,7,6,30,3
"31",6,1,9,4,3,4,4,3,1,1,6,1,9,4,3,4,4,3,1,1,6,1,9,4,3,4,4,3,1,1,31,2
"32",1,5,5,1,5,5,5,5,5,5,4,3,1,5,5,5,5,5,5,5,4,3,1,5,5,5,5,5,5,5,32,2
"33",6,7,5,4,6,5,6,7,6,6,5,5,5,5,8,5,5,6,6,4,5,5,5,5,8,5,5,6,5,6,33,4
"34",4,2,3,3,3,4,2,2,2,2,5,6,6,6,7,7,6,5,6,6,5,6,6,6,7,7,6,5,6,6,34,1
"35",3,6,4,3,4,2,2,3,2,2,3,6,4,3,4,2,2,3,2,2,3,6,4,3,4,2,2,3,2,2,35,2
"36",3,8,3,8,6,3,8,9,8,8,9,8,9,4,9,8,9,8,3,7,3,8,3,8,6,3,8,9,8,8,36,4
"37",2,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,37,2
"38",9,5,9,9,6,5,6,5,5,6,9,5,9,9,6,5,6,5,5,6,9,9,9,9,9,9,9,9,9,9,38,1
"39",5,2,5,5,2,8,3,4,1,1,3,3,3,5,5,4,3,3,4,6,3,3,3,5,5,4,3,3,4,6,39,4
"40",5,3,2,2,2,2,2,1,1,1,3,6,6,4,7,8,7,7,8,8,3,6,6,4,7,8,7,7,8,8,40,2
"41",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,41,3
"42",5,3,4,3,3,3,3,2,3,4,2,2,3,2,2,3,2,3,3,3,2,2,3,2,2,3,2,3,3,3,42,4
"43",4,4,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,43,4
